City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
240,katsuura,35.1333,35.1333,27.48,84,23,8.59,JP,1726346959
241,upington,-28.4478,-28.4478,14.21,19,0,1.54,ZA,1726346960
242,canutama,-6.5339,-6.5339,40.88,15,96,1.07,BR,1726346961
243,isafjordur,66.0755,66.0755,2.89,79,68,6.48,IS,1726346963
244,uchkeken,43.9378,43.9378,12.0,81,0,5.19,RU,1726346964
245,lata,40.1629,40.1629,16.14,41,4,1.18,PT,1726346445
246,vorgashor,67.5833,67.5833,12.26,94,7,4.39,RU,1726346966
247,mar del plata,-38.0023,-38.0023,11.01,74,0,4.63,AR,1726346968
248,zdvinsk,54.7021,54.7021,12.44,96,93,3.19,RU,1726346969
249,abra pampa,-22.7205,-22.7205,18.29,3,11,12.99,AR,1726346970
250,san jose de jachal,-30.2406,-30.2406,18.68,23,0,2.72,AR,1726346972
251,cromwell,41.5951,41.5951,29.73,53,75,1.54,US,1726346707
252,lompoc,34.6391,34.6391,21.19,79,100,4.63,US,1726346893
253,kayangel,8.0823,8.0823,29.19,80,100,9.43,PW,1726346976
254,nar'yan-mar,67.6713,67.6713,15.6,86,14,3.85,RU,1726346431
255,hithadhoo,-0.6,-0.6,28.28,74,0,4.27,MV,1726346473
256,guatrache,-37.6678,-37.6678,18.27,25,12,3.17,AR,1726346980
257,bonao,18.9369,18.9369,30.04,74,76,1.45,DO,1726346982
258,oranjemund,-28.55,-28.55,11.87,94,11,2.22,NA,1726346397
259,puerto baquerizo moreno,-0.9,-0.9,24.55,88,40,8.75,EC,1726346984
260,cunit,41.1983,41.1983,20.61,100,0,0.89,ES,1726346986
261,touros,-5.1989,-5.1989,24.6,78,40,7.6,BR,1726346987
262,rio grande,-32.035,-32.035,13.55,80,0,6.77,BR,1726346764
263,tera,14.0078,14.0078,28.97,60,28,2.0,NE,1726346990
264,talnakh,69.4865,69.4865,0.48,75,12,0.66,RU,1726346991
265,qui nhon,13.7667,13.7667,25.46,84,100,1.76,VN,1726346992
266,lubang,13.8584,13.8584,28.25,82,100,9.33,PH,1726346993
267,yala,6.3333,6.3333,24.1,91,100,1.67,TH,1726346995
268,messaad,34.1543,34.1543,24.07,52,53,5.6,DZ,1726346996
269,archangelos,36.2149,36.2149,25.17,74,100,3.62,GR,1726346997
270,rancho palos verdes,33.7445,33.7445,24.69,74,40,3.6,US,1726346998
271,kilindoni,-7.9139,-7.9139,24.91,76,4,4.77,TZ,1726347000
272,acajutla,13.5928,13.5928,29.9,72,81,1.78,SV,1726347002
273,labrador city,52.9463,52.9463,14.95,38,75,4.63,CA,1726347004
274,al artawiyah,26.5053,26.5053,30.04,22,0,4.5,SA,1726346865
275,sisimiut,66.9395,66.9395,4.62,80,91,4.69,GL,1726347006
276,la passe,45.5549,45.5549,14.36,58,100,4.79,FR,1726347008
277,calvi,42.5,42.5,13.35,41,0,4.12,FR,1726347009
278,mahibadhoo,3.7833,3.7833,28.78,72,100,5.0,MV,1726347010
279,minas de marcona,-15.2119,-15.2119,15.3,60,2,8.03,PE,1726346463
280,blair,41.5444,41.5444,26.42,61,100,3.09,US,1726347013
281,avarua,-21.2078,-21.2078,25.03,78,75,3.09,CK,1726347014
282,lent'ekhi,42.7856,42.7856,14.38,74,10,2.18,GE,1726347015
283,krasnyy chikoy,50.3643,50.3643,6.83,91,98,1.02,RU,1726347016
284,chulakkurgan,43.765,43.765,11.81,50,25,2.48,KZ,1726347018
285,harper,4.375,4.375,24.59,80,59,4.34,LR,1726347019
286,meadow lakes,61.6247,61.6247,10.35,94,100,2.57,US,1726347020
287,urangan,-25.3,-25.3,18.0,68,43,3.62,AU,1726347022
288,kerikeri,-35.2268,-35.2268,13.28,89,63,1.34,NZ,1726347023
289,badger,64.8,64.8,12.42,74,40,4.12,US,1726347024
290,manta,-0.95,-0.95,25.88,73,20,6.69,EC,1726346733
291,callao,-12.0667,-12.0667,18.16,72,75,3.6,PE,1726346967
292,havre,49.5833,49.5833,10.87,76,0,1.54,FR,1726347028
293,cambria,35.5641,35.5641,31.8,68,35,2.49,US,1726347029
294,silsbee,30.3491,30.3491,34.35,71,78,2.84,US,1726347031
295,hasaki,35.7333,35.7333,27.02,83,11,8.88,JP,1726347032
296,dudinka,69.4058,69.4058,-1.56,86,19,3.75,RU,1726347033
297,kosh-agach,50.0,50.0,-1.45,88,6,0.7,RU,1726347036
298,carnarvon,-24.8667,-24.8667,22.39,30,0,8.77,AU,1726347038
299,pangody,65.85,65.85,2.56,68,10,2.78,RU,1726347039
300,cadale,2.7603,2.7603,25.2,82,18,8.61,SO,1726347040
301,ciudad miguel aleman,26.35,26.35,37.37,36,45,7.04,MX,1726347042
302,pisco,-13.7,-13.7,21.03,60,0,3.6,PE,1726347043
303,aken,50.7766,50.7766,9.72,83,28,0.53,DE,1726347045
304,san sebastian de la gomera,28.0916,28.0916,23.2,83,0,1.03,ES,1726347046
305,yung shue wan,22.2333,22.2333,28.15,82,100,4.12,HK,1726347047
306,brookings,44.3114,44.3114,28.0,47,0,5.66,US,1726347049
307,zango,13.0515,13.0515,28.75,55,61,2.68,NG,1726347050
308,kanniyakumari,8.0833,8.0833,26.31,83,84,9.31,IN,1726347051
309,ilha de mocambique,-15.0342,-15.0342,24.37,82,1,4.51,MZ,1726347053
310,thinadhoo,0.5333,0.5333,28.38,76,15,5.44,MV,1726347054
311,joshimath,30.5667,30.5667,15.02,88,89,0.9,IN,1726347055
312,rethymno,35.3647,35.3647,23.87,70,54,3.04,GR,1726346885
313,as sulayyil,20.4607,20.4607,32.86,15,51,1.72,SA,1726347058
314,mirny,62.5353,62.5353,-1.35,87,99,1.55,RU,1726347059
315,bubaque,11.2833,11.2833,27.0,81,43,6.62,GW,1726347061
316,sukabumi,-6.9181,-6.9181,19.51,94,88,1.07,ID,1726347062
317,pirapemas,-3.7267,-3.7267,31.62,33,93,0.5,BR,1726347063
318,natal,-5.795,-5.795,26.36,65,40,9.77,BR,1726346911
319,maun,-19.9833,-19.9833,26.98,24,0,1.03,BW,1726347066
320,manismata,-2.4667,-2.4667,21.58,94,100,1.33,ID,1726347067
321,wewak,-3.5534,-3.5534,25.17,91,100,2.4,PG,1726347069
322,kavaratti,10.5669,10.5669,26.08,90,99,3.69,IN,1726347070
323,san pedro del parana,-26.8333,-26.8333,21.44,55,28,5.1,PY,1726347071
324,codrington,-38.2667,-38.2667,9.04,60,47,6.62,AU,1726347073
325,boa vista,2.8197,2.8197,28.99,74,75,1.54,BR,1726347074
326,mahdia,35.5047,35.5047,22.44,44,58,9.17,TN,1726347075
327,kimbe,-5.5502,-5.5502,24.96,91,62,1.85,PG,1726347076
328,de aar,-30.6497,-30.6497,14.85,51,70,1.79,ZA,1726347078
329,queenstown,-31.8976,-31.8976,14.76,67,100,4.58,ZA,1726347018
330,puerto aysen,-45.4,-45.4,4.44,100,100,2.28,CL,1726347080
331,conceicao do araguaia,-8.2578,-8.2578,35.16,18,100,1.51,BR,1726347082
332,zeya,53.75,53.75,4.88,76,18,1.25,RU,1726347083
333,skhira,34.2992,34.2992,25.72,39,70,2.3,TN,1726347084
334,selkirk,50.1436,50.1436,26.77,43,31,1.79,CA,1726346947
335,caleta de carquin,-11.0925,-11.0925,19.22,74,91,5.74,PE,1726347087
336,nova sintra,14.8667,14.8667,26.32,75,29,3.58,CV,1726347088
337,jayapura,-2.5333,-2.5333,24.66,93,100,1.68,ID,1726346953
338,houlton,46.1262,46.1262,22.23,39,0,1.54,US,1726347091
339,kawm umbu,24.4767,24.4767,31.73,16,2,6.53,EG,1726347092
340,vadso,70.0744,70.0744,4.09,87,100,1.54,NO,1726347093
341,manaure,11.7751,11.7751,30.51,73,15,5.83,CO,1726347095
342,carutapera,-1.195,-1.195,26.51,77,71,5.34,BR,1726347096
343,borogontsy,62.6683,62.6683,-3.04,96,10,2.59,RU,1726347097
344,constantia,44.1833,44.1833,16.5,61,46,7.44,RO,1726347100
345,nueva loja,0.0847,0.0847,35.01,43,20,2.57,EC,1726347101
346,iba,15.3667,15.3667,25.47,86,100,1.78,PH,1726347102
347,port saint john's,-31.6229,-31.6229,18.62,78,100,4.14,ZA,1726347105
348,as saffaniyah,27.9708,27.9708,32.1,31,0,3.96,SA,1726347106
349,funafuti,-8.5243,-8.5243,29.0,89,75,0.0,TV,1726347108
350,zhaqsy,51.9083,51.9083,12.79,76,69,2.77,KZ,1726347109
351,kota kinabalu,5.9749,5.9749,27.71,89,20,3.58,MY,1726347085
352,cannonvale,-20.2833,-20.2833,20.66,67,15,7.12,AU,1726347112
353,petawawa,45.9001,45.9001,27.1,55,20,2.06,CA,1726347113
354,wynyard,-41.0,-41.0,2.6,75,2,3.89,AU,1726347114
355,al wajh,26.2455,26.2455,30.97,74,0,3.09,SA,1726347115
356,dalhart,36.0595,36.0595,35.01,17,0,5.66,US,1726347117
357,muisne,0.6,0.6,25.07,80,83,4.56,EC,1726347118
358,alofi,-19.0595,-19.0595,26.94,69,75,3.6,NU,1726347119
359,salinopolis,-0.6136,-0.6136,26.76,81,36,7.56,BR,1726347121
360,san rafael,-34.6177,-34.6177,20.52,18,0,5.82,AR,1726347122
361,copala,16.65,16.65,30.22,67,100,2.85,MX,1726347124
362,tamanrasset,22.785,22.785,21.95,68,40,2.06,DZ,1726347125
363,aykol,38.1751,38.1751,21.92,26,100,2.98,CN,1726347126
364,pontianak,-0.0333,-0.0333,22.99,100,100,0.51,ID,1726347128
